id,L,a,b,hex_srgb,in_srgb
428,8.375,30.625,-21.625,#300136,1
429,8.375,34.25,-25.75,#31003B,0
430,8.375,35.0,-36.375,#27004A,0
431,8.4375,17.25,-27.0,#17123D,1
432,8.4375,22.375,-17.125,#2A0B2F,1
433,8.4375,44.0,-31.25,#390043,0
434,8.5,12.75,-30.5,#011542,1
435,8.5,31.875,-18.125,#340031,0
436,8.5,48.5,-36.75,#3A004B,0
437,8.5625,64.0,-32.625,#4F0046,0
438,8.5625,71.5,-52.625,#480063,0
439,8.5625,74.25,-60.125,#43006E,0
440,8.5625,79.875,-56.0,#4F0068,0
441,8.625,47.5,-4.125,#4A0020,0
442,8.6875,120.375,-98.875,#5000AC,0
443,8.75,47.25,11.0,#4D0009,0
444,8.875,58.0,-32.75,#490047,0
445,8.875,83.125,-86.625,#150098,0
446,8.875,111.875,-103.375,#3200B3,0
447,8.9375,95.375,-67.375,#59007A,0
448,9.0,73.125,-73.875,#290084,0
449,9.1875,126.875,-112.0,#4000C3,0
450,9.25,95.375,-79.375,#4A008E,0
451,9.3125,-0.875,-0.375,#191A1B,1
452,9.3125,50.0,4.5,#500016,0
453,9.3125,52.0,-16.375,#4C0031,0
454,9.375,76.375,-46.375,#56005C,0
455,9.4375,106.25,-82.0,#580092,0
456,9.5,-34.25,-11.875,#00262A,0
457,9.5,-31.5,-14.0,#00252D,0
458,9.5,-29.5,-10.25,#002528,0
459,9.5,-28.75,-16.0,#002530,0
460,9.5,-26.75,-12.375,#00242B,0
461,9.5,-26.0,-18.0,#002432,0
462,9.5,-24.125,-14.25,#00232D,0
463,9.5,-23.375,-8.0,#002325,0
464,9.5,-22.5,-10.875,#002329,0
465,9.5,-21.5,-16.125,#002330,0
466,9.5,-19.875,-12.5,#00222B,0
467,9.5,-19.625,-6.625,#002223,0
468,9.5,-17.5,-14.25,#00212D,0
469,9.5,-17.25,-8.125,#002125,0
470,9.5,-15.875,-5.25,#002021,0
471,9.5,-15.25,-9.875,#002027,0
472,9.5,-13.875,-7.0,#002024,0
473,9.5,-13.125,-11.5,#00202A,0
474,9.5,-13.125,-4.25,#001F20,0
475,9.5,-11.875,-8.375,#001F25,0
476,9.5,-11.125,-5.5,#001F22,0
477,9.5,-10.0,-9.625,#001F27,0
478,9.5,-9.625,-3.125,#041E1E,1
479,9.5,-9.25,-30.0,#002043,0
480,9.5,-9.25,-6.625,#001E23,0
481,9.5,-8.0,-10.875,#001E29,0
482,9.5,-7.75,-4.375,#071E20,1
483,9.5,-7.5,-7.875,#021E25,1
484,9.5,-6.875,-2.0,#0D1D1D,1
485,9.5,-6.0,-5.625,#0A1D22,1
486,9.5,-4.75,-2.125,#111C1D,1
487,9.5,-4.375,-7.125,#0C1D24,1
488,9.5,-3.25,-34.25,#001F49,0
