id,L,a,b,hex_srgb,slice_id
11880,15.5,83.5,-97.25,#0000BC,248
11911,15.5625,41.0,-53.625,#270D76,249
11930,15.5625,82.125,-67.125,#5A008B,249
11937,15.625,-34.75,12.875,#003113,250
11977,15.625,58.125,-72.25,#1C0093,250
11982,15.625,68.5,-15.625,#6E003F,250
11990,15.625,91.625,-81.375,#5500A2,250
12005,15.6875,32.25,-2.75,#4D0C2C,251
12035,15.6875,110.125,-102.375,#4E00C5,251
12037,15.6875,113.125,-95.0,#6300B9,251
12040,15.6875,127.0,-101.25,#7000C3,251
12096,15.75,49.375,0.25,#600029,252
12103,15.75,63.25,0.0,#6E002A,252
12105,15.75,72.5,-69.75,#470090,252
12108,15.75,87.25,-48.125,#73006E,252
12113,15.75,99.375,-106.75,#1500CD,252
12194,15.875,3.0,-17.75,#1A2741,254
12242,15.9375,-13.125,-6.0,#002D30,255
12243,15.9375,-12.0,7.25,#182C1D,255
12267,15.9375,9.125,6.125,#37231F,255
12274,15.9375,20.875,11.25,#461A19,255
12292,15.9375,44.125,-63.5,#090E86,255
12299,15.9375,52.5,-25.5,#5A004D,255
12499,16.125,19.625,-4.5,#3F1C2F,258
12515,16.125,50.0,27.75,#660000,258
12565,16.1875,7.25,-26.25,#14274E,259
12623,16.1875,50.5,15.0,#650016,259
12630,16.25,-41.25,0.25,#003427,260
12710,16.25,18.375,-49.5,#002571,260
13096,16.4375,-15.0,-27.25,#00304F,263
13205,16.4375,110.25,-73.625,#7D0098,263
13214,16.5,-20.0,5.0,#003021,264
13249,16.5,-1.375,15.875,#2E2912,264
13324,16.5625,-62.75,-9.125,#003935,265
13330,16.5625,-58.5,-14.0,#00393C,265
13337,16.5625,-56.5,-6.5,#003831,265
13347,16.5625,-52.875,-17.875,#003842,265
13349,16.5625,-52.25,-11.25,#003738,265
13369,16.5625,-46.75,-8.625,#003634,265
13424,16.5625,-31.125,-31.625,#003556,265
13514,16.5625,2.5,-32.0,#002B57,265
13523,16.5625,5.75,-53.5,#002D78,265
13545,16.5625,13.75,-56.125,#00297C,265
13553,16.5625,18.625,-61.0,#002883,265
13563,16.5625,24.875,-64.625,#002589,265
13577,16.5625,32.125,-68.25,#00208F,265
13592,16.5625,40.125,-44.0,#3A0D69,265
13602,16.5625,46.375,-77.25,#00149E,265
13616,16.5625,58.125,28.5,#6F0000,265
13627,16.5625,63.25,11.25,#72001D,265
13629,16.5625,66.25,-68.625,#400090,265
13642,16.5625,82.875,-56.125,#6A007D,265
13659,16.625,-31.625,3.375,#003324,266
13668,16.625,-0.125,9.125,#2E291C,266
13694,16.625,36.25,28.625,#5A0300,266
13697,16.625,39.375,8.75,#5A001F,266
13711,16.625,60.875,-40.75,#5B0065,266
13723,16.625,127.0,-112.75,#5D00DA,266
13724,16.6875,-47.25,-14.625,#00373D,267
13749,16.6875,13.5,-25.125,#26244D,267
13768,16.6875,40.125,-73.375,#001A98,267
13772,16.6875,42.375,-15.5,#560040,267
13798,16.6875,118.125,-118.125,#3300E3,267
13799,16.6875,118.5,-84.125,#7E00AA,267
13834,16.75,6.625,17.125,#392511,268
13845,16.75,18.0,-31.25,#262257,268
13865,16.75,66.875,-75.75,#31009C,268
13866,16.75,67.625,-5.75,#740034,268
13869,16.75,84.5,-41.25,#770067,268
13872,16.75,94.625,-55.0,#7A007C,268
13873,16.75,104.625,-67.0,#7D008E,268
13921,16.8125,-7.25,-15.375,#002D3F,269
13973,16.8125,29.125,-53.625,#001F79,269
13980,16.8125,38.5,-10.0,#540439,269
13986,16.8125,43.5,17.0,#600014,269
14011,16.8125,88.625,-69.0,#650092,269
14019,16.875,-37.5,-6.5,#003532,270
14099,16.875,12.875,-8.5,#362336,270
14115,16.875,35.375,-24.5,#480F4D,270
14120,16.875,41.75,2.125,#5C0028,270
14127,16.875,58.25,-34.0,#5E005C,270
14131,16.875,59.375,-19.5,#670047,270
14142,16.875,99.125,-81.875,#6400A7,270
14193,16.9375,6.625,-14.75,#28283F,271
