id,L,a,b,hex_srgb,in_srgb
452,15.1875,62.0,-60.125,#43007F,0
453,15.1875,82.0,-82.75,#3D00A3,0
454,15.25,10.75,-42.5,#002664,0
455,15.25,85.875,-87.625,#3A00AB,0
456,15.25,97.375,-61.5,#740082,0
457,15.25,107.25,-90.25,#6000B0,0
458,15.3125,-0.5,-25.25,#00294A,0
459,15.3125,26.375,-32.25,#301955,1
460,15.3125,75.25,-91.5,#0000B2,0
461,15.3125,100.0,-96.125,#4500BA,0
462,15.4375,34.5,-46.125,#29146A,1
463,15.5,-66.25,11.0,#003715,0
464,15.5,-57.375,13.5,#003511,0
465,15.5,-51.25,14.5,#003410,0
466,15.5,-40.25,16.0,#00320D,0
467,15.5,-29.0,17.75,#002F0A,0
468,15.5,-21.375,18.625,#0B2D08,1
469,15.5,-15.125,19.75,#1A2C06,1
470,15.5,-8.25,20.875,#252904,1
471,15.5,-2.125,21.75,#2D2702,1
472,15.5,3.0,21.375,#332403,1
473,15.5,11.375,23.75,#3D2000,0
474,15.5,16.5,20.25,#421C07,1
475,15.5,21.125,24.875,#471800,0
476,15.5,27.75,24.0,#4E1100,0
477,15.5,73.125,-25.625,#6F004D,0
478,15.5,83.5,-97.25,#0000BC,0
479,15.5625,41.0,-53.625,#270D76,1
480,15.5625,82.125,-67.125,#5A008B,0
481,15.625,-34.75,12.875,#003113,0
482,15.625,58.125,-72.25,#1C0093,0
483,15.625,68.5,-15.625,#6E003F,0
484,15.625,91.625,-81.375,#5500A2,0
485,15.6875,32.25,-2.75,#4D0C2C,1
486,15.6875,110.125,-102.375,#4E00C5,0
487,15.6875,113.125,-95.0,#6300B9,0
488,15.6875,127.0,-101.25,#7000C3,0
489,15.75,49.375,0.25,#600029,0
490,15.75,63.25,0.0,#6E002A,0
491,15.75,72.5,-69.75,#470090,0
492,15.75,87.25,-48.125,#73006E,0
493,15.75,99.375,-106.75,#1500CD,0
494,15.875,3.0,-17.75,#1A2741,1
495,15.9375,-13.125,-6.0,#002D30,1
496,15.9375,-12.0,7.25,#182C1D,1
497,15.9375,9.125,6.125,#37231F,1
498,15.9375,20.875,11.25,#461A19,1
499,15.9375,44.125,-63.5,#090E86,1
500,15.9375,52.5,-25.5,#5A004D,0
501,16.125,19.625,-4.5,#3F1C2F,1
502,16.125,50.0,27.75,#660000,0
